country,year,scenario,co2_projected
India,2035,Aggressive Mitigation,1816.4505810828439
India,2036,BAU,4644.286484885413
India,2036,Moderate Mitigation,2505.975593479161
India,2036,Aggressive Mitigation,1725.6280520287016
India,2037,BAU,4753.942677292382
India,2037,Moderate Mitigation,2455.856081609578
India,2037,Aggressive Mitigation,1639.3466494272666
India,2038,BAU,4863.050588737315
India,2038,Moderate Mitigation,2406.738959977386
India,2038,Aggressive Mitigation,1557.379316955903
India,2039,BAU,4971.612960625022
India,2039,Moderate Mitigation,2358.604180777839
India,2039,Aggressive Mitigation,1479.510351108108
India,2040,BAU,5079.632520653293
India,2040,Moderate Mitigation,2311.4320971622815
India,2040,Aggressive Mitigation,1405.5348335527024
Russia,2025,BAU,1713.6948472791983
Russia,2025,Moderate Mitigation,1744.9135199999998
Russia,2025,Aggressive Mitigation,1691.4977999999999
Russia,2026,BAU,1715.8576866730846
Russia,2026,Moderate Mitigation,1710.0152495999998
Russia,2026,Aggressive Mitigation,1606.9229099999998
Russia,2027,BAU,1717.5879581881934
Russia,2027,Moderate Mitigation,1675.8149446079997
Russia,2027,Aggressive Mitigation,1526.5767644999996
Russia,2028,BAU,1718.9721754002805
Russia,2028,Moderate Mitigation,1642.2986457158397
Russia,2028,Aggressive Mitigation,1450.2479262749996
Russia,2029,BAU,1720.0795491699503
Russia,2029,Moderate Mitigation,1609.452672801523
Russia,2029,Aggressive Mitigation,1377.7355299612495
Russia,2030,BAU,1720.965448185686
Russia,2030,Moderate Mitigation,1577.2636193454925
Russia,2030,Aggressive Mitigation,1308.848753463187
Russia,2031,BAU,1721.6741673982747
Russia,2031,Moderate Mitigation,1545.7183469585827
Russia,2031,Aggressive Mitigation,1243.4063157900275
Russia,2032,BAU,1722.2411427683455
Russia,2032,Moderate Mitigation,1514.803980019411
Russia,2032,Aggressive Mitigation,1181.2360000005262
Russia,2033,BAU,1722.6947230644023
Russia,2033,Moderate Mitigation,1484.5079004190227
Russia,2033,Aggressive Mitigation,1122.1742000004997
Russia,2034,BAU,1723.0575873012476
Russia,2034,Moderate Mitigation,1454.817742410642
Russia,2034,Aggressive Mitigation,1066.065490000475
Russia,2035,BAU,1723.347878690724
Russia,2035,Moderate Mitigation,1425.7213875624293
Russia,2035,Aggressive Mitigation,1012.762215500451
Russia,2036,BAU,1723.5801118023048
Russia,2036,Moderate Mitigation,1397.2069598111807
Russia,2036,Aggressive Mitigation,962.1241047254284
Russia,2037,BAU,1723.7658982915698
Russia,2037,Moderate Mitigation,1369.262820614957
Russia,2037,Aggressive Mitigation,914.017899489157
Russia,2038,BAU,1723.9145274829816
Russia,2038,Moderate Mitigation,1341.8775642026578
Russia,2038,Aggressive Mitigation,868.3170045146991
Russia,2039,BAU,1724.0334308361112
Russia,2039,Moderate Mitigation,1315.0400129186048
Russia,2039,Aggressive Mitigation,824.9011542889641
Russia,2040,BAU,1724.1285535186148
Russia,2040,Moderate Mitigation,1288.7392126602326
Russia,2040,Aggressive Mitigation,783.6560965745158
Japan,2025,BAU,1139.0333773212199
Japan,2025,Moderate Mitigation,942.62966
Japan,2025,Aggressive Mitigation,913.77365
Japan,2026,BAU,1139.06496165307
Japan,2026,Moderate Mitigation,923.7770668
Japan,2026,Aggressive Mitigation,868.0849675
Japan,2027,BAU,1139.0913527697728
Japan,2027,Moderate Mitigation,905.3015254639998
Japan,2027,Aggressive Mitigation,824.6807191249999
Japan,2028,BAU,1139.1134045593794
Japan,2028,Moderate Mitigation,887.1954949547198
Japan,2028,Aggressive Mitigation,783.4466831687498
Japan,2029,BAU,1139.1318305104423
Japan,2029,Moderate Mitigation,869.4515850556255
Japan,2029,Aggressive Mitigation,744.2743490103122
Japan,2030,BAU,1139.1472267970305
Japan,2030,Moderate Mitigation,852.0625533545129
Japan,2030,Aggressive Mitigation,707.0606315597967
Japan,2031,BAU,1139.1600915680212
Japan,2031,Moderate Mitigation,835.0213022874227
Japan,2031,Aggressive Mitigation,671.7075999818068
Japan,2032,BAU,1139.1708410647711
Japan,2032,Moderate Mitigation,818.3208762416742
Japan,2032,Aggressive Mitigation,638.1222199827164
Japan,2033,BAU,1139.179823088661
Japan,2033,Moderate Mitigation,801.9544587168408
Japan,2033,Aggressive Mitigation,606.2161089835805
Japan,2034,BAU,1139.187328254255
Japan,2034,Moderate Mitigation,785.9153695425039
Japan,2034,Aggressive Mitigation,575.9053035344016
Japan,2035,BAU,1139.1935993921725
Japan,2035,Moderate Mitigation,770.1970621516539
Japan,2035,Aggressive Mitigation,547.1100383576814
Japan,2036,BAU,1139.1988394059053
Japan,2036,Moderate Mitigation,754.7931209086207
Japan,2036,Aggressive Mitigation,519.7545364397973
Japan,2037,BAU,1139.2032178367872
Japan,2037,Moderate Mitigation,739.6972584904482
Japan,2037,Aggressive Mitigation,493.76680961780744
Japan,2038,BAU,1139.2068763495247
Japan,2038,Moderate Mitigation,724.9033133206392
Japan,2038,Aggressive Mitigation,469.078469136917
Japan,2039,BAU,1139.2099333157785
Japan,2039,Moderate Mitigation,710.4052470542266
Japan,2039,Aggressive Mitigation,445.62454568007115
Japan,2040,BAU,1139.2124876440935
Japan,2040,Moderate Mitigation,696.1971421131419
Japan,2040,Aggressive Mitigation,423.34331839606756
Germany,2025,BAU,745.6111255851786
Germany,2025,Moderate Mitigation,560.87262
Germany,2025,Aggressive Mitigation,543.70305
Germany,2026,BAU,741.4708313339025
Germany,2026,Moderate Mitigation,549.6551675999999
Germany,2026,Aggressive Mitigation,516.5178974999999
Germany,2027,BAU,737.4603043547659
Germany,2027,Moderate Mitigation,538.6620642479999
Germany,2027,Aggressive Mitigation,490.6920026249999
Germany,2028,BAU,733.5754774139209
Germany,2028,Moderate Mitigation,527.8888229630398
Germany,2028,Aggressive Mitigation,466.1574024937499
Germany,2029,BAU,729.8124107548944
Germany,2029,Moderate Mitigation,517.3310465037791
Germany,2029,Aggressive Mitigation,442.84953236906233
Germany,2030,BAU,726.1672881031253
Germany,2030,Moderate Mitigation,506.9844255737035
Germany,2030,Aggressive Mitigation,420.70705575060924
Germany,2031,BAU,722.6364127957299
Germany,2031,Moderate Mitigation,496.84473706222946
Germany,2031,Aggressive Mitigation,399.6717029630787
Germany,2032,BAU,719.2162040325695
Germany,2032,Moderate Mitigation,486.90784232098486
Germany,2032,Aggressive Mitigation,379.6881178149248
Germany,2033,BAU,715.9031932448202
Germany,2033,Moderate Mitigation,477.16968547456514
Germany,2033,Aggressive Mitigation,360.7037119241785
Germany,2034,BAU,712.6940205773594
Germany,2034,Moderate Mitigation,467.6262917650738
Germany,2034,Aggressive Mitigation,342.66852632796963
